Foto,Forest,Cnpy,LAI4,GLI
1,CBE,24.92,1.53,28.53
2,CBE,24.3,1.53,30.58
3,CBE,26.82,1.44,33.06
4,CBE,33.37,1.1,38.23
5,CBE,27.6,1.63,28.76
6,CBE,28.98,1.46,31.99
7,CBE,29.03,1.32,33.06
8,CBE,29.23,1.2,35.33
9,CBE,26.06,1.5,32.23
10,CBE,25.02,1.59,28.21
11,CBE,26.39,1.54,30.9
12,CBE,28.26,1.4,32.83
13,CBE,28.76,1.54,31.26
14,CBE,25.6,1.55,34.14
15,CBE,25.73,1.5,31.1
16,CBE,23.26,1.71,26.82
17,CBE,30.63,1.27,41.45
18,CBE,28.79,1.41,32.93
19,CBE,30.8,1.36,25.86
20,CBE,36.66,1.19,22.92
21,CSR,23.74,1.68,30.83
22,CSR,25.16,1.54,30.64
23,CSR,25.68,1.4,35.68
24,CSR,22.36,1.64,29.9
25,CSR,30.39,1.45,34.31
26,CSR,34.2,1.05,43.75
27,CSR,34.06,1.26,40.78
28,CSR,30.27,1.62,35.97
29,CSR,30.78,1.36,38.38
30,CSR,32.06,1.09,42.93
31,CSR,31.09,1.07,38.7
32,CSR,33.6,1.04,41.62
33,CSR,26.24,1.54,29.86
34,CSR,37.37,1.06,42.46
35,CSR,26.68,1.44,35.18
36,CSR,24.17,1.58,31.12
37,CSR,26.64,1.43,34.65
38,CSR,25.49,1.68,31.4
39,CSR,29.39,1.25,37.26
40,CSR,30.01,1.47,32.7
